payroll_id,emp_id,period_id,total_days,working_days,days_present,days_absent,days_leave,basic_salary,hra,da,transport_allow,other_allowances,gross_salary,pf_employee,pf_employer,esi_employee,esi_employer,professional_tax,income_tax_tds,loan_deduction,other_deductions,total_deductions,net_salary,status,payment_date,payment_ref,remarks,created_at,updated_at,emp_code,name,pan_number,email,gender,employment_type,dept_name,desig_title,grade_name,grade_code,period_name,month,year,annual_gross,annual_net,take_home_ratio_pct,effective_tds_pct,deduction_ratio_pct,hra_ratio_pct,attendance_efficiency,salary_grade,pipeline_ts,pipeline_version,data_source
61,1,24,31,27,25,1,1,43333.33,13000.0,7366.67,1200.0,0.0,64900.0,1800.0,1800.0,0.0,0.0,200.0,536.67,0.0,0.0,2536.67,62363.33,Paid,2026-03-31,NEFT24001,,2026-04-18 14:02:06,2026-04-18 14:02:06,EMP001,Rajesh Kumar,AABPK1234C,rajesh.kumar@payrollwise.in,Male,Full-Time,Human Resources,HR Executive,Associate,G3,March 2026,3,2026,778800.0,748359.96,96.09,0.83,3.91,30.0,92.6,G3,2026-04-21T12:42:19.996233,v2.0,OLTP_payroll_db
62,2,24,31,27,25,1,1,120370.37,48148.15,26481.48,2500.0,0.0,197500.0,1800.0,1800.0,0.0,0.0,200.0,23333.33,0.0,0.0,25333.33,172166.67,Paid,2026-03-31,NEFT24002,,2026-04-18 14:02:06,2026-04-18 14:02:06,EMP002,Priya Sharma,BCDPS5678D,priya.sharma@payrollwise.in,Female,Full-Time,Human Resources,HR Manager,Assistant Manager,G6,March 2026,3,2026,2370000.0,2066000.04,87.17,11.81,12.83,40.0,92.6,G6,2026-04-21T12:42:19.996233,v2.0,OLTP_payroll_db
63,3,24,31,27,26,1,0,62592.59,21907.41,11266.67,1500.0,0.0,97266.67,1800.0,1800.0,0.0,0.0,200.0,3685.0,0.0,0.0,5685.0,91581.67,Paid,2026-03-31,NEFT24003,,2026-04-18 14:02:06,2026-04-18 14:02:06,EMP003,Amit Patel,CDEAP2345E,amit.patel@payrollwise.in,Male,Full-Time,Information Technology,Software Engineer,Senior Associate,G4,March 2026,3,2026,1167200.04,1098980.04,94.16,3.79,5.84,35.0,96.3,G4,2026-04-21T12:42:19.996233,v2.0,OLTP_payroll_db
64,4,24,31,27,27,0,0,30000.0,6000.0,4500.0,800.0,0.0,41300.0,1800.0,1800.0,0.0,0.0,200.0,0.0,0.0,0.0,2000.0,39300.0,Paid,2026-03-31,NEFT24004,,2026-04-18 14:02:06,2026-04-18 14:02:06,EMP004,Sneha Reddy,DEFSR3456F,sneha.reddy@payrollwise.in,Female,Full-Time,Customer Support,HR Executive,Junior Associate,G2,March 2026,3,2026,495600.0,471600.0,95.16,0.0,4.84,20.0,100.0,G2,2026-04-21T12:42:19.996233,v2.0,OLTP_payroll_db
65,5,24,31,27,25,1,1,36592.59,10977.78,6220.74,1200.0,0.0,54991.11,1800.0,1800.0,0.0,0.0,200.0,41.22,0.0,0.0,2041.22,52949.89,Paid,2026-03-31,NEFT24005,,2026-04-18 14:02:06,2026-04-18 14:02:06,EMP005,Vikram Singh,EFGVS4567G,vikram.singh@payrollwise.in,Male,Full-Time,Sales & Marketing,Sales Executive,Associate,G3,March 2026,3,2026,659893.32,635398.68,96.29,0.07,3.71,30.0,92.6,G3,2026-04-21T12:42:19.996233,v2.0,OLTP_payroll_db
66,6,24,31,27,26,1,0,26962.96,5392.59,4044.44,800.0,0.0,37199.99,1800.0,1800.0,0.0,0.0,200.0,0.0,0.0,0.0,2000.0,35199.99,Paid,2026-03-31,NEFT24006,,2026-04-18 14:02:06,2026-04-18 14:02:06,EMP006,Ananya Iyer,FGHAI5678H,ananya.iyer@payrollwise.in,Female,Full-Time,Finance & Accounts,Accounts Executive,Junior Associate,G2,March 2026,3,2026,446399.88,422399.88,94.62,0.0,5.38,20.0,96.3,G2,2026-04-21T12:42:19.996233,v2.0,OLTP_payroll_db
67,7,24,31,27,26,1,0,84740.74,32201.48,16948.15,2000.0,0.0,135890.37,1800.0,1800.0,0.0,0.0,200.0,9469.74,0.0,0.0,11469.74,124420.63,Paid,2026-03-31,NEFT24007,,2026-04-18 14:02:06,2026-04-18 14:02:06,EMP007,Rohit Gupta,GHIRG6789I,rohit.gupta@payrollwise.in,Male,Full-Time,Information Technology,Senior Software Engineer,Team Lead,G5,March 2026,3,2026,1630684.44,1493047.56,91.56,6.97,8.44,38.0,96.3,G5,2026-04-21T12:42:19.996233,v2.0,OLTP_payroll_db
68,8,24,31,27,24,2,1,66666.67,23333.33,12000.0,1500.0,0.0,103500.0,1800.0,1800.0,0.0,0.0,200.0,4483.33,0.0,0.0,6483.33,97016.67,Paid,2026-03-31,NEFT24008,,2026-04-18 14:02:06,2026-04-18 14:02:06,EMP008,Kavitha Menon,HIJKM7890J,kavitha.menon@payrollwise.in,Female,Full-Time,Data Science & Analytics,Data Scientist,Senior Associate,G4,March 2026,3,2026,1242000.0,1164200.04,93.74,4.33,6.26,35.0,88.9,G4,2026-04-21T12:42:19.996233,v2.0,OLTP_payroll_db
69,9,24,31,27,26,0,1,44000.0,13200.0,7480.0,1200.0,0.0,65880.0,1800.0,1800.0,0.0,0.0,200.0,585.67,0.0,0.0,2585.67,63294.33,Paid,2026-03-31,NEFT24009,,2026-04-18 14:02:06,2026-04-18 14:02:06,EMP009,Sanjay Nair,IJKSN8901K,sanjay.nair@payrollwise.in,Male,Full-Time,Operations,Operations Analyst,Associate,G3,March 2026,3,2026,790560.0,759531.96,96.08,0.89,3.92,30.0,96.3,G3,2026-04-21T12:42:19.996233,v2.0,OLTP_payroll_db
70,10,24,31,27,27,0,0,95000.0,36100.0,19000.0,2000.0,0.0,152100.0,1800.0,1800.0,0.0,0.0,200.0,12711.67,0.0,0.0,14711.67,137388.33,Paid,2026-03-31,NEFT24010,,2026-04-18 14:02:06,2026-04-18 14:02:06,EMP010,Deepa Joshi,JKLDJ9012L,deepa.joshi@payrollwise.in,Female,Full-Time,Research & Development,Research Scientist,Team Lead,G5,March 2026,3,2026,1825200.0,1648659.96,90.33,8.36,9.67,38.0,100.0,G5,2026-04-21T12:42:19.996233,v2.0,OLTP_payroll_db
